지역,건물,수송,발전,계(발전제외),총계,산업
계,2920169,3353698,60569291,108991493,168155187,104014475
서울,1116202,1164137,X,2649154,X,330444
부산,184566,381950,1458448,1396837,2439942,772670
대구,82659,114742,-,1253583,1254363,1065734
인천,165986,136033,11077856,4657915,14882143,4582536
광주,46038,43245,-,424060,395984,320334
대전,193755,379810,-,978717,944966,385688
울산,24216,37657,1898844,11755540,13655002,12220058
세종,9442,-,X,163891,X,166535
경기,626877,592194,1870154,17840425,20231032,17095708
강원,129880,57721,4481087,5217981,9050792,4780198
충북,55001,57400,-,3024003,3164568,3042463
충남,56472,45433,23894409,18089105,43358334,18389085
전북,39893,52692,X,3276205,X,3078530
전남,19448,81698,2125983,24364581,26556767,24214505
경북,63804,87535,533496,12005253,12540730,11930608
경남,79997,100828,11737632,1834907,12155022,1617237
제주,25932,20623,366844,59337,444602,22141
