에너지원,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국
신·재생에너지 합계①+② (toe),293656,139791,193380,430139,74518,57965,711388,41022,1448818,1012540,526171,1510984,536553,1177210,2385732,781166,216332,13292989
① 재생에너지 합,281706,131785,186584,423151,73878,57915,706186,41022,1321542,1012485,526165,1507878,533261,1162313,2374640,781152,216332,13061531
② 신에너지 합,11949,8006,6796,6988,639,50,5202,0,127277,56,6,3106,3292,14897,11092,13,0,231458
신·재생에너지 지역별 공급비중 (%),2.55,1.21,1.68,3.73,0.65,0.50,6.17,0.36,12.56,8.78,4.56,13.10,4.65,10.20,20.68,6.77,1.88,100.00
태양열 (toe),1043,1047,1324,832,764,970,444,24,3490,3419,1297,2873,1278,2361,3118,3755,446,28469
태양광 (toe),11813,14739,7634,8399,8566,4920,3139,1682,34422,29326,23034,39385,95160,141931,62409,50489,10383,849379
풍력 (toe),41,112,4,10101,0,81,558,0,1127,83403,3,5,2412,24802,61629,5411,52157,283455
수력 (toe),240,41,3631,7432,932,126,103,2135,111741,129282,124977,18874,50330,28113,47874,55065,290,453787
해양 (toe),0,0,0,0,0,0,0,0,103848,0,0,0,0,0,0,0,0,104731
지열 (toe),7250,1263,3244,3180,2611,2103,1583,1098,25951,9410,4861,9907,11438,9432,5862,7921,1358,135046
수열 (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791
바이오 (toe),98477,35852,104307,300434,30949,23869,362643,12055,398117,140765,36766,286438,214750,90367,48421,501631,136154,2765657
폐기물 (toe),162844,78731,66440,92773,30056,25847,337715,24029,642845,616879,335226,1150396,157894,865307,2145326,156882,15543,8436216
연료전지 (toe),11949,8006,6796,6988,639,50,5202,0,127277,56,6,3106,3292,14897,11092,13,0,230173
IGCC (toe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
