,연도,지역,총계,산업,건물,수송,발전,연도_datetime
0,2020,계,154943952,98743839,2823334,2777892,50598888,2020
1,2020,서울,-1,348806,1047532,941563,-1,2020
2,2020,부산,2435787,736492,188083,333798,1177414,2020
3,2020,대구,1099122,952094,76886,70141,-1,2020
4,2020,인천,14231935,4708752,146973,121324,9254886,2020
5,2020,광주,386334,317597,40917,27820,-1,2020
6,2020,대전,905867,380113,190112,335642,-1,2020
7,2020,울산,12871197,11452081,25187,43543,1350386,2020
8,2020,세종,-1,167949,12032,-1,-1,2020
9,2020,경기,19411964,16724962,668890,475177,1542935,2020
10,2020,강원,7667671,4522113,110581,32544,3002434,2020
11,2020,충북,3276264,3175934,48919,51411,-1,2020
12,2020,충남,39285683,16834721,43198,35013,22372751,2020
13,2020,전북,3320002,2871501,38365,46821,363314,2020
14,2020,전남,24500001,22481880,24146,74994,1918982,2020
15,2020,경북,12102220,11476949,54722,71605,498944,2020
16,2020,경남,8971442,1575680,82444,83915,7229404,2020
17,2020,제주,413364,16215,24347,32581,340222,2020
18,2020,계,154943952,98743839,2823334,2777892,50598888,2020
19,2020,서울,-1,348806,1047532,941563,-1,2020
20,2020,부산,2435787,736492,188083,333798,1177414,2020
21,2020,대구,1099122,952094,76886,70141,-1,2020
22,2020,인천,14231935,4708752,146973,121324,9254886,2020
23,2020,광주,386334,317597,40917,27820,-1,2020
24,2020,대전,905867,380113,190112,335642,-1,2020
25,2020,울산,12871197,11452081,25187,43543,1350386,2020
26,2020,세종,-1,167949,12032,-1,-1,2020
27,2020,경기,19411964,16724962,668890,475177,1542935,2020
28,2020,강원,7667671,4522113,110581,32544,3002434,2020
29,2020,충북,3276264,3175934,48919,51411,-1,2020
30,2020,충남,39285683,16834721,43198,35013,22372751,2020
31,2020,전북,3320002,2871501,38365,46821,363314,2020
32,2020,전남,24500001,22481880,24146,74994,1918982,2020
33,2020,경북,12102220,11476949,54722,71605,498944,2020
34,2020,경남,8971442,1575680,82444,83915,7229404,2020
35,2020,제주,413364,16215,24347,32581,340222,2020
36,2022,계,159111027,102690999,3179263,2879226,50361539,2022
37,2022,서울,-1,416623,1149622,1040780,-1,2022
38,2022,부산,-1,733396,192351,344440,-1,2022
39,2022,대구,1165227,1001669,84660,78898,-1,2022
40,2022,인천,13359509,4174058,166295,126810,8892346,2022
41,2022,광주,409018,335596,47187,26235,-1,2022
42,2022,대전,915067,380548,213930,320589,-1,2022
43,2022,울산,-1,11163931,22598,47232,-1,2022
44,2022,세종,-1,189854,14857,-1,-1,2022
45,2022,경기,22641088,19118946,797934,450932,2273277,2022
46,2022,강원,9108374,4951493,126054,38128,3992700,2022
47,2022,충북,3359185,3255048,54817,49320,-1,2022
48,2022,충남,38337059,17086308,62116,33554,21155082,2022
49,2022,전북,-1,2855605,41228,40000,-1,2022
50,2022,전남,23626333,22461725,22879,97027,1044702,2022
51,2022,경북,10673381,10091366,58929,67147,455940,2022
52,2022,경남,12278005,4456729,86191,83713,7651372,2022
53,2022,제주,630321,18105,37618,34420,540178,2022
