,연도,지역,소계,재생에너지,신에너지,소계,태양광 (MWh),풍력 (MWh),수력 (MWh),해양 (MWh),바이오 (MWh),폐기물 (MWh),연료전지 (MWh),IGCC (MWh)
0,2020,전국,43123776,37202048,5921728,100.00,19337964,3149948,3879383,457263,9938354,439137,3544354,2377374
1,2020.1,서울,646174,305085,341090,1.50,228302,204,1112,-1,29554,45912,341090,-1
2,2020.2,부산,465586,281257,184330,1.08,227625,253,93,-1,9827,43458,184330,-1
3,2020.3,대구,226446,218595,7851,0.53,170703,26,12951,-1,29663,5252,7851,-1
4,2020.4,인천,1474011,520583,953427,3.42,190865,52828,39579,-1,228842,8470,953427,-1
5,2020.5,광주,313908,310682,3227,0.73,292567,2,7795,-1,4779,5539,3227,-1
6,2020.6,대전,125281,93553,31727,0.29,92382,398,241,-1,-1,533,31727,-1
7,2020.7,울산,946151,932221,13930,2.19,124484,1514,1457,-1,799437,5330,13930,-1
8,2020.8,세종,155971,116237,39734,0.36,85394,-1,-1,-1,25790,5053,39734,-1
9,2020.9,경기,4162365,2929914,1232451,9.65,1441434,5637,649895,457257,302620,73072,1232451,-1
10,2020.10,강원,4854631,4805455,49176,11.26,1408461,782333,1062271,-1,1527599,24791,49176,-1
11,2020.11,충북,2155759,2155142,617,5.00,1115632,28,1010026,-1,8846,20610,617,-1
12,2020.12,충남,7329833,4494230,2835603,17.00,2479172,3001,61599,-1,1933197,17261,458230,2377374
13,2020.13,전북,6841164,6832526,8638,15.86,3241991,131208,285784,-1,3157632,15911,8638,-1
14,2020.14,전남,4938585,4770519,168067,11.45,3972969,576232,114120,-1,45367,61831,168067,-1
15,2020.15,경북,3694386,3662355,32031,8.57,2317698,944038,319014,-1,29698,51907,32031,-1
16,2020.16,경남,2312863,2293227,19637,5.36,1457496,74184,310046,-1,434237,17263,19637,-1
17,2020.17,제주,2480660,2480469,191,5.75,490790,578062,3399,6,1371267,36946,191,-1
18,2021,전국,50657393,43668518,6988875,100.00,24717623,3180017,3057210,454980,11788068,470620,4798120,2190755
19,2021.1,서울,782277,343803,438474,1.54,244804,198,618,-1,28706,69477,438474,-1
20,2021.2,부산,616236,322758,293478,1.22,268850,67,41,-1,14294,39506,293478,-1
21,2021.3,대구,251812,237111,14701,0.50,203414,25,14518,-1,14158,4996,14701,-1
22,2021.4,인천,2020296,522823,1497473,3.99,222103,39490,41096,-1,210856,9278,1497473,-1
23,2021.5,광주,345741,341185,4557,0.68,323404,5,8230,-1,3107,6438,4557,-1
24,2021.6,대전,148871,111077,37794,0.29,107759,379,257,-1,-1,2683,37794,-1
25,2021.7,울산,902327,846768,55559,1.78,147698,1745,1144,-1,689987,6193,55559,-1
26,2021.8,세종,170224,126389,43834,0.34,94225,-1,-1,-1,27461,4704,43834,-1
27,2021.9,경기,4733827,3280766,1453062,9.34,1764822,4680,633233,454961,346957,76112,1453062,-1
28,2021.10,강원,5888937,5740642,148294,11.63,1831240,947359,713162,-1,2225996,22885,148294,-1
29,2021.11,충북,2225401,2170437,54965,4.39,1407403,49,731058,-1,8492,23435,54965,-1
30,2021.12,충남,8489538,5845613,2643925,16.76,3094979,2047,57296,-1,2677939,13352,453170,2190755
31,2021.13,전북,8325469,8314254,11215,16.43,4231407,145910,238930,-1,3676706,21301,11215,-1
32,2021.14,전남,6158271,5928947,229324,12.16,5198466,525511,86132,13,57690,61136,229324,-1
33,2021.15,경북,4393519,4357360,36159,8.67,3076962,914994,292238,-1,22778,50388,36159,-1
34,2021.16,경남,2542146,2516475,25672,5.02,1823756,68197,236059,-1,372760,15702,25672,-1
35,2021.17,제주,2662500,2662109,390,5.26,676330,529363,3198,6,1410179,43033,390,-1
36,2022,전국,57779999,50405547,7374452,100.00,30726260,3369458,3544866,423843,11927592,413529,5409625,1964827
37,2022.1,서울,723176,388180,334996,1.25,290528,202,379,-1,27783,69288,334996,-1
38,2022.2,부산,693590,365617,327973,1.20,324351,69,244,-1,12534,28419,327973,-1
39,2022.3,대구,293356,278409,14947,0.51,253577,26,14966,-1,6072,3768,14947,-1
40,2022.4,인천,1911643,564400,1347243,3.31,258249,38774,30288,-1,228231,8858,1347243,-1
41,2022.5,광주,471271,406332,64940,0.82,390494,8,6269,-1,3051,6510,64940,-1
42,2022.6,대전,224281,139650,84631,0.39,135265,386,122,-1,-1,3878,84631,-1
43,2022.7,울산,689744,472944,216800,1.19,177458,250,437,-1,290267,4532,216800,-1
44,2022.8,세종,169375,128981,40394,0.29,112270,-1,-1,-1,12460,4251,40394,-1
45,2022.9,경기,5269025,3723948,1545077,9.12,2133592,4495,717533,423839,379897,64591,1545077,-1
46,2022.10,강원,6479493,6203412,276081,11.21,2181578,954664,1169315,-1,1883771,14084,276081,-1
47,2022.11,충북,2785854,2579630,206224,4.82,1711676,73,824421,-1,8211,35249,206224,-1
48,2022.12,충남,9023827,6570279,2453548,15.62,3693682,2133,52379,-1,2810616,11469,488720,1964827
49,2022.13,전북,10385213,10274015,111198,17.97,5534009,161686,212888,-1,4347686,17747,111198,-1
50,2022.14,전남,7481402,7189211,292191,12.95,6376158,585571,56039,3,93969,77472,292191,-1
51,2022.15,경북,5315057,5285824,29233,9.20,4085780,913760,238520,-1,19547,28216,29233,-1
52,2022.16,경남,2867620,2839026,28593,4.96,2279853,133380,218238,-1,191845,15711,28593,-1
53,2022.17,제주,2996072,2995689,383,5.19,787739,573980,2829,1,1611653,19487,383,-1
