,지역,연도,가정용,공공용,서비스업,농림어업,광업,제조업,합계,연도_datetime
0,서울,2020.1,13982706,3432231,26860179,14757,1946,1496106,45787926,2020
1,부산,2020.2,4837487,1249802,7416837,106915,18093,6874835,20503969,2020
2,대구,2020.3,3411777,808903,5406278,72005,11484,5048120,14758568,2020
3,인천,2020.4,4294880,871533,7391006,143486,53695,10883983,23638583,2020
4,광주,2020.5,2154034,524607,3165538,72418,1754,2612757,8531108,2020
5,대전,2020.6,2019639,1029942,4026171,32961,906,2295602,9405221,2020
6,울산,2020.7,1611703,457346,3614653,80504,13973,27379654,33157834,2020
7,세종,2020.8,558990,326228,806969,83300,10923,1606813,3393223,2020
8,경기,2020.9,19387551,5665320,36288050,2527503,258425,60562115,124688964,2020
9,강원,2020.10,2197106,1385801,6175120,698450,446395,5217195,16120067,2020
10,충북,2020.11,2291890,1265385,5212990,834980,127046,17169602,26901894,2020
11,충남,2020.12,3038547,1061727,7468271,2043578,198913,36611696,50422732,2020
12,전북,2020.13,2519052,1066828,5048965,1547056,65127,10291884,20538912,2020
13,전남,2020.14,2500682,1177568,5708835,3187514,75960,18323416,30973975,2020
14,경북,2020.15,3631035,1586986,8480620,1937129,197009,25168848,41001627,2020
15,경남,2020.16,4718536,1395218,8915532,2254783,65373,16720533,34069974,2020
16,제주,2020.17,917914,316304,2457351,1399316,5078,277326,5373288,2020
18,서울,2021.1,14656127,3575378,27499011,19189,1902,1544200,47295807,2021
19,부산,2021.2,4974889,1280159,7507103,110847,19576,7175259,21067833,2021
20,대구,2021.3,3461331,866403,5562421,79759,15128,5458907,15443949,2021
21,인천,2021.4,4586787,943788,7572381,166780,87829,11543628,24901194,2021
22,광주,2021.5,2215918,568578,3272320,76903,3490,2836237,8973447,2021
23,대전,2021.6,2102655,1107741,4112045,37039,877,2388264,9748621,2021
24,울산,2021.7,1638730,505195,3497844,90321,15117,27845916,33593123,2021
25,세종,2021.8,612111,342947,1520211,90952,11510,1717632,4295363,2021
26,경기,2021.9,20775255,5941474,37299472,2712094,271724,66445929,133445948,2021
27,강원,2021.10,2289719,1478686,6398541,783547,452010,5405503,16808006,2021
28,충북,2021.11,2385627,1360538,5365193,920412,128817,18241476,28402063,2021
29,충남,2021.12,3184715,1121942,7230648,2291760,341587,34630974,48801626,2021
30,전북,2021.13,2588903,1082470,5146076,1704721,69757,10894934,21486861,2021
31,전남,2021.14,2578822,1373405,5739917,3461170,82528,20251044,33486886,2021
32,경북,2021.15,3709248,1706260,8788905,2135822,228781,27689281,44258297,2021
33,경남,2021.16,4826057,1437292,9042660,2369741,68712,17989597,35734059,2021
34,제주,2021.17,971492,333656,2626848,1445104,7547,303083,5687730,2021
36,서울,2022.1,14550103,3731551,28974161,19956,2004,1510903,48788677,2022
37,부산,2022.2,5054430,1318967,7934443,112183,20393,7053232,21493648,2022
38,대구,2022.3,3580477,896890,5850911,85684,16922,5608376,16039260,2022
39,인천,2022.4,4704964,1061842,8047040,165992,86695,11440330,25506864,2022
40,광주,2022.5,2249750,596484,3388222,87214,3438,2791763,9116871,2022
41,대전,2022.6,2142124,1196638,4281816,39500,1175,2355623,10016877,2022
42,울산,2022.7,1648161,540143,3481349,92980,13921,27142626,32919181,2022
43,세종,2022.8,645445,369610,290326,91637,11588,1773473,3182079,2022
44,경기,2022.9,21128150,6148678,40545794,2803262,261890,69643238,140531012,2022
45,강원,2022.10,2332245,1562036,6626692,791361,445375,5567812,17325520,2022
46,충북,2022.11,2434713,1414053,5613790,956883,124485,18868303,29412227,2022
47,충남,2022.12,3250542,1205339,7707805,2389068,339103,35367782,50259638,2022
48,전북,2022.13,2597581,1117563,5313085,1784102,66663,10959480,21838474,2022
49,전남,2022.14,2606963,1384767,5915581,3636671,76732,21044390,34665105,2022
50,경북,2022.15,3763344,1790827,9033740,2295285,219137,27498700,44601033,2022
51,경남,2022.16,4863308,1522501,9371342,2414495,61534,17957740,36190920,2022
52,제주,2022.17,1005271,360568,2843687,1519101,7929,308801,6045356,2022
