연도,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
지역별(1),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외),총계,산업,건물,수송,발전,계(발전제외)
계,154943952,98743839,2823334,2777892,50598888,104345064,162357441,104233378,2947581,2840652,52335829,110021612,159111027,102690999,3179263,2879226,50361539,108749488
서울,X,348806,1047532,941563,X,2337902,X,377290,1083970,1021857,X,2483116,X,416623,1149622,1040780,X,2607025
부산,2435787,736492,188083,333798,1177414,1258374,X,738556,185605,340142,X,1264303,X,733396,192351,344440,X,1270187
대구,1099122,952094,76886,70141,-,1099122,1211986,1056328,77871,77787,-,1211986,1165227,1001669,84660,78898,-,1165227
인천,14231935,4708752,146973,121324,9254886,4977049,14654026,4653756,153777,119384,9727109,4926917,13359509,4174058,166295,126810,8892346,4467163
광주,386334,317597,40917,27820,-,386334,410061,336299,43654,30109,-,410061,409018,335596,47187,26235,-,409018
대전,905867,380113,190112,335642,-,905867,930373,396631,200231,333511,-,930373,915067,380548,213930,320589,-,915067
울산,12871197,11452081,25187,43543,1350386,11520810,X,11609861,22700,43821,X,11676382,X,11163931,22598,47232,X,11233761
세종,X,167949,12032,-,X,179980,X,175291,14524,-,X,189815,X,189854,14857,-,X,204710
경기,19411964,16724962,668890,475177,1542935,17869029,21441502,18215915,712522,467647,2045419,19396084,22641088,19118946,797934,450932,2273277,20367811
강원,7667671,4522113,110581,32544,3002434,4665238,8057999,4390806,111354,26574,3529265,4528733,9108374,4951493,126054,38128,3992700,5115674
충북,3276264,3175934,48919,51411,-,3276264,3333840,3231346,52511,49983,-,3333840,3359185,3255048,54817,49320,-,3359185
충남,39285683,16834721,43198,35013,22372751,16912932,38891705,16637546,46833,33138,22174188,16717517,38337059,17086308,62116,33554,21155082,17181977
전북,3320002,2871501,38365,46821,363314,2956687,X,3098024,38136,39378,X,3175537,X,2855605,41228,40000,X,2936834
전남,24500001,22481880,24146,74994,1918982,22581019,26149345,24145695,23250,81320,1899081,24250264,23626333,22461725,22879,97027,1044702,22581631
경북,12102220,11476949,54722,71605,498944,11603276,12123634,11576772,56378,71223,419261,11704373,10673381,10091366,58929,67147,455940,10217442
경남,8971442,1575680,82444,83915,7229404,1742039,10960519,3575757,88263,76859,7219639,3740879,12278005,4456729,86191,83713,7651372,4626633
제주,413364,16215,24347,32581,340222,73142,461836,17507,36003,27921,380405,81431,630321,18105,37618,34420,540178,90143
